order_id,customer_id,order_date,status
1,711.0,2025-01-26 00:16:36,SHIPPED
2,215.0,2025-08-09 15:30:55,PLACED
3,782.0,2025-05-31 17:36:43,PLACED
4,-1.0,2025-02-14 03:01:30,CANCELLED
5,-1.0,2026-02-20 14:05:53,RETURNED
6,481.0,2025-04-23 05:10:15,DELIVERED
7,-1.0,2025-03-05 18:33:36,PLACED
8,127.0,2025-08-09 12:12:25,SHIPPED
9,205.0,2026-06-16 09:55:32,DELIVERED
10,-1.0,2024-09-27 07:00:11,DELIVERED
11,357.0,2025-08-10 06:26:19,RETURNED
12,628.0,2025-04-02 15:12:10,RETURNED
13,593.0,2026-03-26 20:51:23,RETURNED
14,197.0,2025-10-07 02:47:54,SHIPPED
15,551.0,2025-11-06 11:45:55,PLACED
16,517.0,2025-02-02 06:59:09,CANCELLED
17,604.0,2025-01-31 15:17:10,PLACED
18,364.0,2026-02-24 05:53:02,CANCELLED
19,234.0,2025-01-20 16:37:32,DELIVERED
20,113.0,2025-09-17 21:33:59,CANCELLED
21,722.0,2025-06-19 23:59:35,PLACED
22,506.0,2025-11-23 10:56:18,DELIVERED
23,754.0,2025-01-10 19:07:37,CANCELLED
24,418.0,2025-11-20 23:18:32,CANCELLED
25,72.0,2026-02-01 00:02:49,CANCELLED
26,377.0,2025-08-01 23:36:47,CANCELLED
27,406.0,2025-11-25 05:29:17,PLACED
28,405.0,2026-07-13 16:37:28,RETURNED
29,760.0,2025-03-04 00:09:17,SHIPPED
30,204.0,2024-07-25 21:30:24,RETURNED
31,414.0,2024-07-24 08:39:31,CANCELLED
32,286.0,2024-09-05 19:21:34,RETURNED
33,775.0,2025-05-14 13:52:28,CANCELLED
34,683.0,2025-08-05 20:44:22,CANCELLED
35,524.0,2025-11-30 21:54:27,CANCELLED
36,257.0,2025-03-31 22:40:32,SHIPPED
37,138.0,2025-12-29 22:48:17,PLACED
38,511.0,2025-01-18 04:10:48,SHIPPED
39,696.0,2024-08-12 00:51:44,DELIVERED
40,99.0,2025-10-13 15:02:00,RETURNED
41,478.0,2024-08-28 17:17:05,CANCELLED
42,268.0,2025-09-25 04:12:39,RETURNED
43,783.0,2026-05-02 04:39:29,CANCELLED
44,122.0,2024-12-23 13:19:31,DELIVERED
45,454.0,2025-09-29 00:11:17,PLACED
46,676.0,2024-10-15 03:13:29,DELIVERED
47,169.0,2026-06-17 19:40:00,SHIPPED
48,399.0,2024-09-19 06:32:35,PLACED
49,503.0,2025-10-02 21:07:10,RETURNED
50,488.0,2025-04-18 19:10:53,SHIPPED
51,401.0,2026-01-27 03:38:46,RETURNED
52,632.0,2025-11-03 10:49:57,DELIVERED
53,29.0,2026-02-24 21:22:35,SHIPPED
54,358.0,2024-11-30 03:19:59,RETURNED
55,-1.0,2024-10-07 03:20:29,DELIVERED
56,439.0,2024-11-29 18:28:08,DELIVERED
57,58.0,2025-02-18 08:17:39,SHIPPED
58,320.0,2025-11-12 15:14:21,PLACED
59,118.0,2024-09-11 11:26:35,PLACED
60,39.0,2025-06-14 09:37:01,CANCELLED
61,432.0,2026-07-15 04:15:28,CANCELLED
62,325.0,2026-01-31 04:05:36,CANCELLED
63,101.0,2025-12-05 19:45:12,PLACED
64,211.0,2025-11-17 19:44:12,RETURNED
65,684.0,2026-01-31 17:25:33,RETURNED
66,447.0,2025-01-22 03:33:37,PLACED
67,549.0,2026-02-08 11:27:53,DELIVERED
68,-1.0,2025-02-05 17:19:46,CANCELLED
69,640.0,2024-09-01 17:48:15,PLACED
70,593.0,2025-04-28 00:38:22,DELIVERED
71,581.0,2026-07-15 16:43:34,CANCELLED
72,356.0,2025-01-22 19:22:26,DELIVERED
73,308.0,2026-03-03 21:41:35,RETURNED
74,425.0,2024-11-25 03:25:58,RETURNED
75,688.0,2024-09-06 20:43:10,SHIPPED
76,643.0,2026-07-03 14:48:52,SHIPPED
77,219.0,2024-12-11 18:05:35,CANCELLED
78,654.0,2025-04-30 23:32:14,RETURNED
79,445.0,2025-11-01 16:21:35,PLACED
80,374.0,2024-10-05 09:00:34,SHIPPED
81,702.0,2025-08-17 02:09:43,CANCELLED
82,66.0,2025-05-29 04:35:21,CANCELLED
83,294.0,2025-10-09 15:49:15,DELIVERED
84,242.0,2024-10-03 18:46:39,PLACED
85,29.0,2025-06-05 17:39:25,DELIVERED
86,574.0,2025-01-23 08:39:23,CANCELLED
87,38.0,2024-08-12 15:13:23,DELIVERED
88,265.0,2024-09-07 14:29:37,DELIVERED
89,181.0,2025-12-31 15:01:51,PLACED
90,498.0,2026-02-05 22:12:27,PLACED
91,86.0,2024-07-31 21:02:02,DELIVERED
92,417.0,2025-07-16 17:31:12,PLACED
93,742.0,2025-11-07 01:46:48,SHIPPED
94,753.0,2024-07-18 19:16:10,PLACED
95,595.0,2024-08-14 19:22:29,RETURNED
96,93.0,2025-04-29 09:50:00,PLACED
97,321.0,2024-11-05 21:58:05,RETURNED
98,767.0,2025-03-16 02:29:42,CANCELLED
99,110.0,2025-04-30 00:40:29,DELIVERED
100,261.0,2024-07-20 20:59:27,PLACED
101,384.0,2025-12-17 01:27:40,PLACED
102,434.0,2026-02-01 08:41:46,SHIPPED
103,149.0,2025-07-02 10:34:10,DELIVERED
104,22.0,2025-05-09 05:15:47,RETURNED
105,-1.0,2025-12-31 18:55:39,PLACED
106,688.0,2026-03-03 12:29:07,RETURNED
107,655.0,2024-09-07 09:00:45,DELIVERED
108,702.0,2024-12-30 03:29:49,SHIPPED
109,398.0,2025-04-24 23:35:36,CANCELLED
110,262.0,2025-12-03 15:51:25,SHIPPED
111,165.0,2026-02-07 19:39:42,DELIVERED
112,786.0,2024-10-14 16:56:34,PLACED
113,83.0,2025-08-13 04:45:09,CANCELLED
114,423.0,2026-07-12 12:20:16,DELIVERED
115,103.0,2025-03-18 17:45:48,DELIVERED
116,361.0,2025-02-24 09:05:42,RETURNED
117,465.0,2024-08-27 11:42:18,PLACED
118,189.0,2026-07-16 11:15:39,SHIPPED
119,-1.0,2025-11-02 20:15:23,DELIVERED
120,85.0,2025-04-11 01:17:36,SHIPPED
121,787.0,2026-04-02 12:26:32,SHIPPED
122,703.0,2025-03-23 13:52:34,DELIVERED
123,753.0,2026-03-24 15:15:01,SHIPPED
124,336.0,2026-01-24 15:57:25,SHIPPED
125,377.0,2025-02-14 23:28:29,CANCELLED
126,585.0,2024-12-13 13:04:09,PLACED
127,663.0,2025-08-27 04:51:23,SHIPPED
128,474.0,2026-06-24 22:01:53,SHIPPED
129,-1.0,2025-11-12 19:43:53,RETURNED
130,92.0,2025-02-21 11:42:36,SHIPPED
131,121.0,2025-04-29 03:11:14,RETURNED
132,465.0,2024-10-04 03:51:51,CANCELLED
133,731.0,2025-12-03 08:30:58,DELIVERED
134,507.0,2025-07-08 13:12:18,CANCELLED
135,615.0,2026-04-25 19:12:29,DELIVERED
136,194.0,2025-06-03 02:34:46,CANCELLED
137,30.0,2024-12-03 13:39:33,DELIVERED
138,462.0,2024-08-13 05:54:13,DELIVERED
139,663.0,2024-08-05 16:44:19,PLACED
140,332.0,2026-07-16 00:10:36,CANCELLED
141,731.0,2025-01-08 09:03:55,CANCELLED
142,263.0,2025-04-28 03:44:39,RETURNED
143,341.0,2026-02-17 05:58:52,CANCELLED
144,621.0,2025-10-31 03:58:20,RETURNED
145,47.0,2025-07-18 04:16:52,RETURNED
146,310.0,2026-06-23 01:09:58,DELIVERED
147,573.0,2026-03-03 03:45:44,SHIPPED
148,516.0,2026-06-24 05:34:20,DELIVERED
149,136.0,2024-07-30 03:53:46,RETURNED
150,267.0,2025-03-23 00:14:32,PLACED
151,512.0,2025-03-21 20:46:44,DELIVERED
152,441.0,2025-12-26 20:29:40,DELIVERED
153,780.0,2025-05-10 09:13:39,RETURNED
154,169.0,2024-12-19 19:05:55,CANCELLED
155,155.0,2025-11-07 19:02:30,CANCELLED
156,153.0,2025-08-04 07:08:27,SHIPPED
157,-1.0,2026-06-04 21:15:41,CANCELLED
158,507.0,2026-04-14 19:59:16,DELIVERED
159,575.0,2025-08-14 02:47:43,CANCELLED
160,738.0,2026-01-10 11:49:04,PLACED
161,209.0,2025-01-04 08:39:04,SHIPPED
162,768.0,2024-09-08 18:54:53,DELIVERED
163,680.0,2026-01-06 09:47:07,RETURNED
164,5.0,2025-07-10 07:07:33,RETURNED
165,79.0,2024-08-01 02:15:43,CANCELLED
166,337.0,2026-05-11 20:16:59,PLACED
167,605.0,2025-10-12 21:03:40,PLACED
168,158.0,2025-01-11 10:39:09,CANCELLED
169,676.0,2025-11-04 02:16:14,DELIVERED
170,6.0,2024-07-28 15:54:08,PLACED
171,464.0,2025-10-23 07:34:32,RETURNED
172,50.0,2026-05-10 00:09:52,DELIVERED
173,57.0,2026-03-09 16:51:52,RETURNED
174,391.0,2024-09-27 05:44:22,DELIVERED
175,790.0,2025-10-07 15:46:39,PLACED
176,-1.0,2026-03-20 09:03:05,CANCELLED
177,292.0,2024-09-02 21:19:58,SHIPPED
178,503.0,2026-03-07 07:33:25,DELIVERED
179,618.0,2024-10-09 13:48:07,PLACED
180,525.0,2025-09-25 18:55:00,CANCELLED
181,488.0,2025-10-10 20:57:44,RETURNED
182,775.0,2024-09-02 06:28:29,DELIVERED
183,445.0,2024-12-13 04:39:56,PLACED
184,-1.0,2025-03-21 14:11:45,CANCELLED
185,664.0,2026-03-20 18:35:06,SHIPPED
186,540.0,2026-01-08 05:03:54,RETURNED
187,480.0,2025-05-07 19:52:50,CANCELLED
188,131.0,2024-10-14 09:54:32,DELIVERED
189,536.0,2025-11-29 21:10:04,RETURNED
190,-1.0,2025-08-20 22:14:55,PLACED
191,523.0,2025-03-10 02:01:05,PLACED
192,738.0,2026-06-22 20:34:57,DELIVERED
193,600.0,2024-12-20 22:20:12,RETURNED
194,-1.0,2024-08-20 11:15:36,CANCELLED
195,187.0,2024-11-21 20:51:34,PLACED
196,722.0,2024-09-02 08:26:03,RETURNED
197,776.0,2025-02-03 05:49:31,RETURNED
198,350.0,2026-01-22 13:03:47,SHIPPED
199,81.0,2024-11-17 22:14:43,RETURNED
200,690.0,2025-04-14 09:26:50,RETURNED
