product_id,product_name,category,unit_price
1,Jacket,Clothing,6396.68
2,SQL Cookbook,Books,21826.12
3,Socks,Clothing,45549.14
4,Samsung Galaxy S24,Electronics,19928.01
5,Mixer Grinder,Home,45866.38
6,Webcam,Electronics,29420.05
7,SQL Cookbook,Books,7495.17
8,Printer,Electronics,38999.28
9,Study Table,Home,43906.89
10,Water Bottle,Home,28643.96
11,Python Programming,Books,20208.4
12,Python Programming,Books,43959.99
13,T-Shirt,Clothing,46049.67
14,Dining Table,Home,39703.24
15,Mixer Grinder,Home,42925.92
16,Gaming Mouse,Electronics,15093.97
17,Atomic Habits,Books,20896.96
18,HP Laptop,Electronics,45680.3
19,Operating Systems,Books,43372.73
20,Mechanical Keyboard,Electronics,3374.29
21,Machine Learning Basics,Books,26261.88
22,Dell Laptop,Electronics,41663.2
23,   HP Laptop   ,Electronics,2622.91
24,Pressure Cooker,Home,18480.76
25,Computer Networks,Books,46161.37
26,HP Laptop,Electronics,29742.78
27,Track Pants,Clothing,17553.02
28,Sneakers,Clothing,34473.64
29,Dining Table,Home,8229.08
30,Jacket,Clothing,33916.99
31,LED Lamp,Home,1100.61
32,Wireless Mouse,Electronics,32403.84
33,HP Laptop,Electronics,40273.77
34,Pressure Cooker,Home,32172.74
35,Deep Learning,Books,23004.0
36,Track Pants,Clothing,26079.83
37,DSA Handbook,Books,25624.53
38,Study Table,Home,30491.6
39,LED Lamp,Home,3285.47
40,LED Lamp,Home,13916.56
41,Microwave,Home,38297.17
42,Webcam,Electronics,40520.45
43,Atomic Habits,Books,36092.03
44,Clean Code,Books,20986.43
45,Python Programming,Books,49738.21
46,Formal Shirt,Clothing,11195.92
47,Atomic Habits,Books,42286.42
48,sNEAKERS,Clothing,6484.41
49,Pressure Cooker,Home,38169.62
50,Sweatshirt,Clothing,32756.29
51,Formal Shirt,Clothing,43584.47
52,Atomic Habits,Books,29319.98
53,SQL Cookbook,Books,43333.03
54,Wireless Mouse,Electronics,25073.82
55,Computer Networks,Books,2797.69
56,Hoodie,Clothing,17199.23
57,Machine Learning Basics,Books,35811.86
58,Wireless Mouse,Electronics,49333.35
59,led lAMP,Home,22657.46
60,Hoodie,Clothing,8005.91
61,Dell Laptop,Electronics,31711.03
62,Deep Learning,Books,19227.49
63,Mechanical Keyboard,Electronics,18717.76
64,Printer,Electronics,41678.11
65,T-Shirt,Clothing,31371.68
66,Jacket,Clothing,17283.05
67,Jeans,Clothing,29474.67
68,Jeans,Clothing,14980.29
69,Chair,Home,29858.86
70,Water Bottle,Home,49774.07
71,Chair,Home,9502.46
72,Python Programming,Books,36385.72
73,Jacket,Clothing,29525.67
74,Jeans,Clothing,32561.96
75,Smart Watch,Electronics,12863.88
76,Power Bank,Electronics,33132.3
77,iPhone 15,Electronics,20897.1
78,SQL Cookbook,Books,23772.38
79,Jacket,Clothing,31552.54
80,Water Bottle,Home,33157.9
81,Curtains,Home,6944.46
82,Mechanical Keyboard,Electronics,5974.95
83,Webcam,Electronics,10012.47
84,Sneakers,Clothing,48658.67
85,Pressure Cooker,Home,8102.64
86,Data Engineering Guide,Books,24085.13
87,   T-Shirt   ,Clothing,4541.24
88,Gaming Mouse,Electronics,24755.79
89,Webcam,Electronics,36205.82
90,Printer,Electronics,11634.9
91,Mixer Grinder,Home,5080.46
92,T-Shirt,Clothing,18074.71
93,Water Bottle,Home,4840.42
94,iPhone 15,Electronics,33201.42
95,Formal Shirt,Clothing,21941.95
96,pRESSURE cOOKER,Home,40766.72
97,Jeans,Clothing,48119.27
98,Water Bottle,Home,23964.43
99,Machine Learning Basics,Books,34838.88
100,Gaming Mouse,Electronics,20859.78
101,DSA Handbook,Books,9144.9
102,Atomic Habits,Books,43142.53
103,Track Pants,Clothing,5735.58
104,   Operating Systems   ,Books,13154.48
105,Dining Table,Home,33928.65
106,Sweatshirt,Clothing,26003.07
107,Smart Watch,Electronics,12503.99
108,LED Lamp,Home,19305.34
109,iPhone 15,Electronics,7930.68
110,Operating Systems,Books,3835.78
111,Atomic Habits,Books,48510.24
112,Mechanical Keyboard,Electronics,32201.53
113,dATA eNGINEERING gUIDE,Books,22265.02
114,SQL Cookbook,Books,22408.7
115,Wireless Mouse,Electronics,986.68
116,   Deep Learning   ,Books,27500.03
117,Webcam,Electronics,30991.4
118,Study Table,Home,32764.34
119,Atomic Habits,Books,2808.33
120,Track Pants,Clothing,38394.08
121,Atomic Habits,Books,5789.77
122,T-Shirt,Clothing,41511.21
123,Study Table,Home,35134.59
124,Printer,Electronics,7108.41
125,SQL Cookbook,Books,9876.48
126,Printer,Electronics,10857.92
127,Polo Shirt,Clothing,37881.75
128,Printer,Electronics,33639.87
129,Webcam,Electronics,22923.66
130,   Track Pants   ,Clothing,36837.08
131,DSA Handbook,Books,25465.81
132,Polo Shirt,Clothing,36551.68
133,Jeans,Clothing,30067.25
134,Study Table,Home,20991.37
135,Sneakers,Clothing,17208.65
136,Chair,Home,6995.18
137,Pressure Cooker,Home,15764.15
138,Jacket,Clothing,35747.79
139,LED Lamp,Home,35548.78
140,Cap,Clothing,31880.18
141,Webcam,Electronics,24070.46
142,Computer Networks,Books,42380.32
143,Mechanical Keyboard,Electronics,19105.43
144,usb cABLE,Electronics,13422.22
145,Sneakers,Clothing,7406.78
146,Monitor,Electronics,10279.65
147,Bluetooth Speaker,Electronics,5213.75
148,Polo Shirt,Clothing,19505.44
149,Pressure Cooker,Home,46331.59
150,Deep Learning,Books,48793.55
151,sTUDY tABLE,Home,37209.13
152,Socks,Clothing,43036.19
153,Data Engineering Guide,Books,35260.99
154,Curtains,Home,30209.01
155,Sneakers,Clothing,49174.32
156,Dell Laptop,Electronics,36780.47
157,   Smart Watch   ,Electronics,14027.7
158,Wall Clock,Home,42316.11
159,Bluetooth Speaker,Electronics,46880.97
160,Dell Laptop,Electronics,29884.33
161,Chair,Home,27552.99
162,Webcam,Electronics,26317.21
163,cAP,Clothing,25306.5
164,Computer Networks,Books,4688.08
165,Jacket,Clothing,16620.22
166,Microwave,Home,30952.2
167,Computer Networks,Books,49058.55
168,Samsung Galaxy S24,Electronics,22338.8
169,T-Shirt,Clothing,16114.76
170,Smart Watch,Electronics,36226.38
171,Printer,Electronics,38547.67
172,   Operating Systems   ,Books,44924.25
173,Formal Shirt,Clothing,47415.77
174,Cap,Clothing,31383.96
175,Sweatshirt,Clothing,10737.44
176,SQL Cookbook,Books,41454.56
177,SQL Cookbook,Books,7772.35
178,   Atomic Habits   ,Books,3755.08
179,Sneakers,Clothing,28790.62
180,Sneakers,Clothing,22611.17
181,Deep Learning,Books,19536.14
182,   Mechanical Keyboard   ,Electronics,36042.26
183,Webcam,Electronics,2371.29
184,Bluetooth Speaker,Electronics,5396.16
185,cURTAINS,Home,38287.18
186,Deep Learning,Books,33070.09
187,Machine Learning Basics,Books,6905.43
188,Computer Networks,Books,31738.88
189,LED Lamp,Home,48271.73
190,Dining Table,Home,27797.98
191,   iPhone 15   ,Electronics,29873.08
192,Sony Headphones,Electronics,37097.38
193,Microwave,Home,32331.98
194,Hoodie,Clothing,30882.56
195,Microwave,Home,33581.8
196,Gaming Mouse,Electronics,49504.81
197,cOMPUTER nETWORKS,Books,33617.09
198,Sofa,Home,29071.72
199,Vacuum Cleaner,Home,32808.1
200,Sony Headphones,Electronics,45015.92
201,Chair,Home,30855.49
202,Pressure Cooker,Home,28321.05
203,Vacuum Cleaner,Home,8515.11
204,Microwave,Home,35638.74
205,Clean Code,Books,6801.86
206,Chair,Home,18001.21
207,Chair,Home,8870.93
208,Gaming Mouse,Electronics,41339.54
209,Sneakers,Clothing,31368.28
